Date,Open,High,Low,Close,Adj Close,Volume
2020-03-17,122.209999,127.370003,118.000000,126.500000,117.980820,16645800
2020-03-18,118.500000,122.360001,113.000000,119.209999,111.181763,15388000
2020-03-19,117.410004,122.800003,114.589996,120.089996,112.002502,11083500
2020-03-20,121.150002,122.660004,114.800003,115.190002,107.432503,12264900
2020-03-23,113.650002,114.900002,109.489998,111.910004,104.373405,16443000
2020-03-24,117.629997,122.580002,117.000000,122.529999,114.278168,10986900
2020-03-25,123.540001,129.029999,120.589996,124.220001,115.854370,14428100
2020-03-26,124.839996,131.630005,124.660004,131.110001,122.887772,10549100
2020-03-27,127.120003,130.509995,125.510002,126.930000,118.969925,9731500
2020-03-30,127.779999,131.169998,126.639999,130.779999,122.578468,10416300
2020-03-31,130.970001,131.610001,128.020004,128.910004,120.825737,8662400
2020-04-01,124.129997,125.620003,121.769997,122.959999,115.248886,7911500
2020-04-02,122.379997,126.129997,122.019997,125.519997,117.648346,6244300
2020-04-03,124.849998,126.040001,121.860001,123.379997,115.642540,6584400
2020-04-06,128.429993,132.800003,127.779999,132.009995,123.731316,9369400
2020-04-07,137.020004,137.279999,132.080002,132.160004,123.871948,10469900
2020-04-08,133.729996,137.449997,132.419998,136.800003,128.220947,6610400
2020-04-09,138.919998,140.779999,137.809998,139.360001,130.620422,9311600
2020-04-13,138.750000,140.059998,135.630005,137.699997,129.064499,7291600
2020-04-14,140.589996,142.210007,139.970001,141.880005,132.982330,5609300
2020-04-15,138.740005,139.490005,137.429993,138.550003,129.861191,5164100
2020-04-16,139.270004,139.550003,137.429993,139.199997,130.470413,5301200
2020-04-17,142.710007,143.479996,141.080002,143.139999,134.163376,6411200
2020-04-20,141.000000,143.050003,140.509995,140.820007,131.988861,5414000
2020-04-21,138.100006,138.979996,135.869995,136.449997,127.892883,6367500
2020-04-22,139.259995,140.300003,138.360001,139.529999,130.779709,6340900
2020-04-23,140.220001,141.979996,139.440002,139.550003,130.798508,6198300
2020-04-24,140.500000,141.970001,139.259995,141.630005,132.748047,4403600
2020-04-27,142.649994,144.660004,141.000000,144.139999,135.100647,4968200
2020-04-28,146.169998,146.479996,143.369995,143.690002,134.678848,3594500
2020-04-29,146.809998,148.539993,146.029999,147.759995,138.493591,4990900
2020-04-30,146.779999,147.050003,145.119995,145.839996,136.694046,4228800
2020-05-01,143.119995,143.600006,139.800003,141.809998,132.916748,4232500
